pt,u_ratio,u_ratio+stdfit,u_ratio-stdfit,u_ratio+stdtot,u_ratio-stdtot
0.009999999776482582,0.5119076570300597,0.5219872182624209,0.5058496266213761,0.5110504172633552,0.43678328656208876
0.019999999552965164,0.5120904417839434,0.5221583848425309,0.5060391548687262,0.5112940607418449,0.4370108741200585
0.029999999329447743,0.5123832475136126,0.5224327708145022,0.5063426329829975,0.5116830436415482,0.43737415740142677
0.03999999910593033,0.5128211430355634,0.5228111393510154,0.5067897396030647,0.5122487606181529,0.4379043267238598
0.04999999701976776,0.5133134278354488,0.5233048224267696,0.5073342370269037,0.5129535840877595,0.43856387581421047
0.059999998658895486,0.5140015487070272,0.5239207688166393,0.5080182755678645,0.513818829684438,0.43937068546733143
0.07000000029802321,0.5147707242894254,0.5246379429828528,0.508812206443233,0.5148430743579002,0.44032715981314147
0.07999999821186066,0.5156203212275672,0.5254643108425642,0.5097231550811642,0.5160257167110237,0.4414326533324753
0.0899999961256981,0.516629871353643,0.5264107442785826,0.510772733530816,0.5173718980632948,0.44268982922997424
0.09999999403953552,0.5177607852106343,0.527470436072314,0.5119476232260266,0.5188801027323741,0.4440981641508464
0.10999999940395357,0.5190553609576318,0.5286478104951067,0.5132542077974109,0.5205564276873818,0.4456619415118954
0.119999997317791,0.5204330271167973,0.5299376051557086,0.5146841139989808,0.5223970384714263,0.4473803716602638
0.12999999523162842,0.5219347223453689,0.5313399702018446,0.5162384940639965,0.5244067383282918,0.4492564669960991
0.14000000059604645,0.5235632666415586,0.5328650102265993,0.5179311346226132,0.5265873006182371,0.45129205498792613
0.14999999105930328,0.5252757549595788,0.5344987703386569,0.5197327093968455,0.528941563312486,0.4534902652867419
0.1599999964237213,0.5272047407671004,0.5362708590366727,0.5217119016776076,0.5314729066656652,0.45585210758499745
0.17000000178813934,0.5291743822207222,0.5381459989213543,0.523791536274302,0.5341812847786798,0.4583811223691693
0.17999999225139618,0.5313215921804244,0.5401505307754069,0.526014274849357,0.5370739456397422,0.46108004556979276
0.1899999976158142,0.5336031575234492,0.5422825984555648,0.5283871443426069,0.5401519075510454,0.4639521288520995
0.19999998807907104,0.5360214217751161,0.5445413704171679,0.5309014816066088,0.5434201703538788,0.4670013774447947
0.20999999344348907,0.5385781523258368,0.5469261698811169,0.5335484962182416,0.5468820452880837,0.4702302316403974
0.21999999880790713,0.5412756450631053,0.5494433459898518,0.5363476319720597,0.550542495856135,0.4736441831106954
0.22999998927116394,0.5441169802099777,0.5520944689813085,0.5393117797486424,0.5544031531748846,0.4772452885374138
0.239999994635582,0.5471047858967926,0.5548792352688903,0.5424097731512917,0.5584726914617312,0.4810395720586825
0.25,0.5502431110223902,0.5578035890503434,0.5456697733269467,0.5627546697099964,0.4850316300070891
0.25999999046325684,0.5535336029174631,0.5608695925519858,0.5491025912376266,0.5672548047499979,0.4892272264695337
0.2699999809265137,0.5569805535156419,0.564078280466246,0.5526819864132231,0.5719798198867925,0.4936308394507893
0.2800000011920929,0.5605866771270149,0.5674344266814848,0.5564307196803391,0.5769351629012818,0.49824851638405093
0.2899999916553497,0.5643569066920874,0.5709417466017456,0.5603592332898104,0.5821292186753584,0.5030882642457033
0.29999998211860657,0.568296307880725,0.5746058210491021,0.5644451279818519,0.5875694161670347,0.5081553707756722
0.31000000238418574,0.5724075851153875,0.578424496291965,0.5687426388534131,0.5932614595276391,0.5134578315933579
0.3199999928474426,0.5766972506146193,0.5824089862975261,0.573207016191541,0.5992178561271976,0.5190044000421483
0.32999998331069946,0.5811696669135822,0.5865608313978079,0.5778618254959559,0.6054453890183847,0.5248022940854548
0.3400000035762787,0.5858314482832261,0.5908861225562047,0.5827215628617771,0.6119539908212119,0.5308608805729634
0.3499999940395355,0.5906873166714883,0.5953884683163553,0.5877844447113912,0.6187564192723657,0.5371917050370867
0.3599999845027924,0.5957462539328952,0.6000752964441188,0.593063242964666,0.6258612642302828,0.5438025751290982
0.3700000047683716,0.6010142338060316,0.6049531920762885,0.598562622309456,0.6332860215568235,0.5507096418726649
0.3799999952316284,0.6064991177467347,0.6100277224629425,0.6042932802144446,0.6410408009925832,0.5579221317541174
0.3899999856948853,0.6122093490784717,0.6153080198703985,0.6102591292291683,0.6491412646887699,0.565454247545183
0.3999999761581421,0.6181568008527333,0.620805022550708,0.6164723104260621,0.6576046767286582,0.5733217822829494
0.4099999964237213,0.6243491381649747,0.6265259815388263,0.6229389509429049,0.6664486183833962,0.5815409429547556
0.41999998688697815,0.6307988982447152,0.6324784756394721,0.6296846191472139,0.6756933337722182,0.5901305416074731
0.42999997735023493,0.6375191506882057,0.638677190409668,0.6367154001511834,0.6853604492656024,0.59911020306328
0.43999999761581426,0.6445229440656173,0.6451355547525359,0.6440431233564866,0.6954727927385514,0.6085008610240781
0.44999998807907104,0.6518274923646383,0.6519088590896834,0.6516462044021524,0.7060585311772964,0.6183283442285974
0.4599999785423279,0.6594464718710945,0.6597034310790605,0.6588452639740469,0.7171409905238835,0.6286139578611699
0.4699999988079071,0.6674011438225812,0.6680351636736238,0.6661655273021857,0.7287587668768152,0.6393932471247407
0.479999989271164,0.6757154999690151,0.6767536117801839,0.673805337126539,0.7409488365312773,0.6507000520607661
0.4899999797344208,0.6844137342142045,0.6858779402085557,0.6817882611586242,0.753749343751588,0.6625692627456816
0.5,0.6935156476282875,0.6954330998357452,0.6901357839619382,0.7672025402067942,0.675039778723788
0.5099999904632568,0.703058018525438,0.7054556168281791,0.6988805588314553,0.7813639945763744,0.688162504971526
0.5199999809265137,0.713073685266988,0.7159809252690935,0.7080513958232424,0.7962896994076498,0.7019887677452885
0.5299999713897705,0.7236074593317031,0.7270561923338902,0.7176884232529648,0.8120487026659166,0.7165817852790052
0.5399999618530275,0.7346985874409063,0.7387232262382418,0.7278267863834283,0.8287149639100297,0.7320095815155647
0.550000011920929,0.7464058665966822,0.7510459980202647,0.7385216863600337,0.8463822946147644,0.7483582000396821
0.5600000023841858,0.7587870234875775,0.7640830799852782,0.7498208818676877,0.8651435837485534,0.765712616788927
0.5699999928474426,0.7719241917202637,0.7779167304958037,0.7617958328211478,0.8851242645185573,0.7841877848081772
0.5799999833106994,0.7858848666078815,0.7926330199286614,0.7745174043815398,0.906459198609146,0.8039077750002077
0.5899999737739563,0.8007876014869696,0.8083471966701421,0.7880850002208074,0.9293180553195193,0.8250277005496689
0.5999999642372131,0.816739022658017,0.8251754569422464,0.8025959805064803,0.9538918195809257,0.8477230033134474
